"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","10.9901719093","3.12410998344","41.855578219790374","147.24193528323457"
"1","62562582","7.716","1.67954087257","2.767619133","273.8843737068822","166.2078407089587"
"2","60615376","7.964","1.73712086678","2.74156498909","264.80598373898044","167.78737758563668"
"3","60114378","8.03","1.76305794716","2.73663711548","260.91031252903224","168.08951300054503"
"4","28904306","16.701","1.85723304749","2.95807313919","247.68027933964927","155.50663501371557"
"5","27821399","17.351","1.8605260849","2.96373200417","247.24189772633494","155.20971510023537"
"6","27450920","17.585","1.86084198952","2.87668013573","247.19992486806748","159.9065514052223"
"7","27136857","17.789","1.85444712639","2.96717500687","248.05236744378297","155.02961535315447"
"8","27091198","17.819","1.87144303322","3.15361499786","245.79962725818186","145.86434942489805"
"9","27033395","17.857","1.91057491302","2.97000098228","240.7652256208623","154.8821036571391"
