"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","9.31078505516","2.77567005157","49.405071352715204","165.7257496218005"
"1","31210120","15.467","1.64269900322","2.8195400238","280.0269550894132","163.14717865910458"
"2","31210120","15.467","1.62954998016","2.7902431488","282.2865242548898","164.86018438831056"
"3","31210120","15.467","1.62414598465","2.80150294304","283.22577178875076","164.19757871145168"
"4","31210120","15.467","1.62073302269","2.84743309021","283.82219252654556","161.54901113623043"
"5","31210120","15.467","1.62082219124","2.82062792778","283.8065782209787","163.08425349883788"
"6","31210120","15.467","1.63089203835","2.91379094124","282.05423117198166","157.86993963420497"
"7","31210120","15.467","1.65178894997","2.8626871109","278.4859409607678","160.68818637159384"
"8","31210120","15.467","1.66153788567","2.8054330349","276.85194780596055","163.967556622471"
"9","31210120","15.467","1.62419509888","2.8630900383","283.21720729120915","160.66557245723297"
