"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","10.0220658779","3.44517278671","45.8987204438258","133.52015369856906"
"1","27466793","17.575","4.44836306572","2.81869792938","103.40882549468488","163.19591936579107"
"2","23961748","20.146","5.38940501213","2.77982902527","85.35265005406151","165.47780306580552"
"3","21717259","22.228","8.02424001694","2.83922505379","57.326301186037526","162.01604004106957"
"4","20475242","23.576","14.5522449017","2.80901193619","31.610243169259647","163.75864910858652"
"5","19908867","24.247","29.6893019676","2.79954600334","15.493796401871487","164.31235616450724"
"6","19752345","24.439","50.2773220539","2.78685688972","9.149254200666656","165.0605029974955"
"7","19711733","24.489","57.9070749283","2.70413017273","7.943761631367105","170.11015395597087"
"8","19710950","24.49","58.36459589","2.76531982422","7.881490362181347","166.346039243384"
"9","19710833","24.491","58.4552111626","2.77168297768","7.869272744917726","165.96414658708034"
