"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","10.8795340061","5.50751209259","42.28122268300193","83.52228597352921"
"1","410696358","1.175","7.98503684998","2.96086001396","57.607749174182764","155.36026621687358"
"2","410696358","1.175","11.1707880497","2.79255390167","41.17883160556798","164.72376763238913"
"3","410696358","1.175","11.0867211819","2.93166589737","41.49107679845451","156.90737488632757"
"4","410696358","1.175","10.7272548676","2.9438970089","42.881427325022656","156.2554663461293"
"5","410696358","1.175","7.16517186165","2.95597290993","64.19943706614225","155.6171230308409"
"6","410696358","1.175","7.41879200935","3.1157951355","62.00470365256641","147.63486686247455"
"7","410696358","1.175","7.77509403229","3.13253092766","59.163271606717565","146.8461160075127"
"8","410696358","1.175","7.29172182083","2.93952393532","63.08523710899839","156.48792461703084"
"9","410696358","1.175","6.92793297768","2.87819600105","66.39787097857905","159.82233309744367"
