"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","9.94792103767","3.32648515701","46.24081737861869","138.28409816596417"
"1","21562571","22.387","4.71768522263","4.09043884277","97.50544563547137","112.4573713680331"
"2","19985468","24.154","4.84007787704","4.02252602577","95.03979309541053","114.35600342988616"
"3","19364324","24.929","5.57566690445","3.94027900696","82.50134161223177","116.74300200257426"
"4","17011833","28.376","8.50912189484","4.04729294777","54.05963220237107","113.65621563261149"
"5","16773528","28.779","9.7636320591","4.05869603157","47.11361481216345","113.33689352981968"
"6","15251112","31.652","12.165651083","3.96545886993","37.81137539305849","116.0017075168016"
"7","15156305","31.85","14.9925780296","3.99002599716","30.681847984437237","115.28746938671613"
"8","14295434","33.768","29.6750199795","3.96770501137","15.501253253346867","115.93603825941257"
"9","14114077","34.202","45.902230978","4.07632684708","10.0212994052587","112.84669195011111"
