"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.68112206459","2.26323103905","675.3561863784128","203.2492450234544"
"1","62562582","7.716","0.804646015167","2.22744107246","571.6799578065322","206.5150031067485"
"2","60615376","7.964","0.828416824341","2.15261793137","555.2760234752918","213.6932863455718"
"3","60114378","8.03","0.841645956039","2.18604898453","546.5481022027869","210.4252938775786"
"4","28904306","16.701","0.960289001465","2.39926791191","479.0224602159422","191.72514987440948"
"5","27821399","17.351","1.13438606262","2.45825505257","405.5056873113687","187.12460268097055"
"6","27450920","17.585","1.14264798164","2.45800495148","402.57367744902416","187.14364253968623"
"7","27136857","17.789","1.14015221596","2.49514389038","403.4549015138604","184.35810526734213"
"8","27091198","17.819","1.15719389915","2.43048095703","397.51332973327345","189.2629517088973"
"9","27033395","17.857","1.17237496376","2.48108720779","392.36593600101844","185.40259228089084"
