"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.709621906281","2.1908261776","648.2325248541008","209.96645224704213"
"1","31210120","15.467","0.699198961258","2.30363798141","657.8957142219008","199.6841533744325"
"2","31210120","15.467","0.757915973663","2.34132599831","606.9274378485843","196.46986380058397"
"3","31210120","15.467","0.761211156845","2.22715187073","604.3001286351488","206.54181964238154"
"4","31210120","15.467","0.766530036926","2.34187102318","600.106946682177","196.42413926610882"
"5","31210120","15.467","0.759634017944","2.42885398865","605.5547660237982","189.38972953913833"
"6","31210120","15.467","0.77077293396","2.24415707588","596.8035198598391","204.97673934843402"
"7","31210120","15.467","0.766620159149","2.32386398315","600.0363993956655","197.94618072939835"
"8","31210120","15.467","0.764219999313","2.25056886673","601.9209133669706","204.39276789091028"
"9","31210120","15.467","0.762073993683","2.33169817924","603.615926816983","197.28110786145925"
