"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.601253986359","2.20348501205","765.0676925834371","208.7602127917875"
"1","27466793","17.575","3.47643899918","2.41272091866","132.31930723048146","190.65611627239386"
"2","23961748","20.146","4.51266312599","2.28184604645","101.93537322795358","201.59116374923778"
"3","21717259","22.228","6.93029284477","2.22367215157","66.37526152260469","206.8650271471638"
"4","20475242","23.576","13.3671648502","2.20064306259","34.412682506261866","209.02980943137968"
"5","19908867","24.247","28.5727739334","2.28047418594","16.099241924219122","201.71243456091278"
"6","19752345","24.439","49.1554021835","2.25325489044","9.35807621474618","204.14911865997885"
"7","19711733","24.489","56.9069139957","2.26454091072","8.083376301769107","203.1316801662804"
"8","19710950","24.49","57.2563650608","2.24389719963","8.03404127229313","205.0004786652878"
"9","19710833","24.491","57.4439489841","2.26161122322","8.007806011507927","203.39481661436966"
