"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.604864120483","2.20192503929","760.5013827442349","208.90811076295134"
"1","410696358","1.175","0.851743936539","2.33405399323","540.0684175919594","197.0819875355117"
"2","410696358","1.175","0.853806018829","2.29680204391","538.7640633298726","200.27847032735605"
"3","410696358","1.175","0.862138032913","2.37313199043","533.557252364377","193.83666894824475"
"4","410696358","1.175","0.869969129562","2.30824303627","528.7543941144148","199.2857739726176"
"5","410696358","1.175","0.869898080826","2.29014611244","528.7975800145645","200.8605466266496"
"6","410696358","1.175","0.860054969788","2.29064083099","534.8495342264033","200.81716599824057"
"7","410696358","1.175","0.872583866119","2.31607794762","527.1699579385346","198.61162292632486"
"8","410696358","1.175","0.865230083466","2.26690006256","531.6504924996652","202.92028201733518"
"9","410696358","1.175","0.865936994553","2.30518007278","531.2164775194294","199.55057109458986"
