"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.662770986557","2.16289401054","694.0557286456203","212.67801277249862"
"1","21562571","22.387","3.68323206902","3.5364780426","124.89031138430389","130.0729127845737"
"2","19985468","24.154","4.93996191025","3.48486089706","93.11812689197943","131.9995298485294"
"3","19364324","24.929","5.52426218987","3.47356295586","83.26903832405391","132.428865071944"
"4","17011833","28.376","8.57386994362","3.66209387779","53.651385316657574","125.61119822447165"
"5","16773528","28.779","9.7094168663","3.65515995026","47.376686605812175","125.84948572982115"
"6","15251112","31.652","12.1999621391","3.39870595932","37.70503504470851","135.34563022098735"
"7","15156305","31.85","14.7174999714","3.48061394691","31.255308367196978","132.16059207248728"
"8","14295434","33.768","29.3622710705","3.46893000603","15.66636309895203","132.6057312199312"
"9","14114077","34.202","45.6189630032","3.35912418365","10.083526010184634","136.94045675307902"
