"Compression level","Compressed size","Compression ratio","Compression time","Downsampling time"
"0","600864672","0.999","2.78287792206","28.0319008827"
"1","12165281","49.321","1.76356101036","22.0193829536"
"2","11202146","53.561","1.76905298233","23.4700119495"
"3","11202146","53.561","1.82270383835","23.7550928593"
"4","10853311","55.283","1.82648587227","23.8895821571"
"5","10853311","55.283","1.83622503281","23.8511750698"
"6","10765857","55.732","1.85266208649","23.9822950363"
"7","10805864","55.525","1.80391383171","24.2684490681"
"8","10829057","55.406","1.84462094307","24.0672268867"
"9","10879027","55.152","1.88909387589","23.9357590675"
