"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","2.01614713669","2.82124209404","228.15795118783151","163.04875110568642"
"1","62562582","7.716","1.69587206841","2.89311695099","271.24687561638876","158.9980660279867"
"2","60615376","7.964","1.7487719059","2.76838707924","263.0417371461105","166.16173491405945"
"3","60114378","8.03","1.82183790207","2.8228468895","252.49227688016057","162.95605748640315"
"4","28904306","16.701","1.89114809036","2.94861197472","243.23848689809066","156.0056066869485"
"5","27821399","17.351","1.91420006752","2.99333190918","240.3092591026459","153.67490607684113"
"6","27450920","17.585","1.90188694","2.98264908791","241.86506060103105","154.2253166372199"
"7","27136857","17.789","1.90464496613","3.00995206833","241.5148272676519","152.82635389453048"
"8","27091198","17.819","1.91036701202","2.99193906784","240.791427565877","153.7464465584868"
"9","27033395","17.857","1.94618797302","2.93388104439","236.35949167110135","156.78890624414646"
