"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","10.9557979107","4.28041696548","41.98690079443206","107.46616596215641"
"1","31210120","15.467","1.69609498978","5.40123009682","271.2112250626868","85.16578478504022"
"2","31210120","15.467","1.68193507195","6.33958387375","273.4945050334203","72.55996752480675"
"3","31210120","15.467","1.69289493561","6.09149503708","271.7238916157643","75.51512349595387"
"4","31210120","15.467","1.68564891815","7.34645199776","272.8919379631814","62.615259739048"
"5","31210120","15.467","1.69652891159","6.58093714714","271.14185726945743","69.89885934404883"
"6","31210120","15.467","1.68635892868","7.30986714363","272.7770418127718","62.92864028326338"
"7","31210120","15.467","1.70383405685","8.07918310165","269.97934343987","56.93644941724666"
"8","31210120","15.467","1.73751997948","5.93207883835","264.74515713970703","77.54448525301011"
"9","31210120","15.467","1.6840031147","5.96826696396","273.1586396631225","77.07430025799027"
