"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","1.85607504845","2.85627698898","247.83480624071365","161.0488064617857"
"1","27466793","17.575","4.4428730011","2.76093888283","103.53660793055559","166.60999012367384"
"2","23961748","20.146","5.47576808929","2.74996709824","84.00647954746968","167.27472859404702"
"3","21717259","22.228","7.84670305252","2.79016709328","58.62334752838966","164.86467821529"
"4","20475242","23.576","14.3410511017","2.82973313332","32.07575210062296","162.55949883901107"
"5","19908867","24.247","29.6035740376","2.76592803001","15.538664332100373","166.30946105913875"
"6","19752345","24.439","50.2448430061","2.85203695297","9.155168420843546","161.28823279115824"
"7","19711733","24.489","58.0363349915","2.79605698586","7.926069074963601","164.51739085686796"
"8","19710950","24.49","58.2946369648","2.80817604065","7.890948875413314","163.80739431621288"
"9","19710833","24.491","58.4060950279","2.74107289314","7.875890346376982","167.81749991062802"
