"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","1.84331703186","2.88404011726","249.5501273244077","159.49847481193177"
"1","410696358","1.175","1.99783301353","3.11189293861","230.24947374664345","147.81999544139026"
"2","410696358","1.175","2.00320720673","2.99984502792","229.63176173462222","153.34125453753865"
"3","410696358","1.175","2.0094461441","2.99708795547","228.91880001347852","153.4823157791238"
"4","410696358","1.175","2.00958299637","2.99898290634","228.90321068166034","153.38533575076363"
"5","410696358","1.175","2.00889778137","3.03841495514","228.98128728372708","151.39472612914778"
"6","410696358","1.175","2.01680803299","3.01268219948","228.08318514982554","152.68786069758048"
"7","410696358","1.175","2.02753210068","3.0368950367","226.87680251587295","151.4704968204131"
"8","410696358","1.175","2.00229406357","2.96966290474","229.7364849498049","154.89973601578527"
"9","410696358","1.175","1.99791502953","2.92258405685","230.2400218237458","157.3949597518593"
