"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","11.9718439579","4.48226308823","38.423487778289655","102.62672916462544"
"1","21562571","22.387","4.76699590683","4.74440193176","96.49683133584038","96.95637229223863"
"2","19985468","24.154","4.94073796272","4.40895986557","93.10350062493495","104.33299781024952"
"3","19364324","24.929","5.61931586266","4.28186798096","81.86049890112567","107.42974842890564"
"4","17011833","28.376","8.66731190681","4.11053609848","53.07297175244498","111.90754416925674"
"5","16773528","28.779","11.5440480709","5.65443897247","39.84737391723585","81.35201427398282"
"6","15251112","31.652","13.4632339478","5.22373604774","34.1671252081854","88.0595795414656"
"7","15156305","31.85","16.3641839027","5.07091093063","28.110170524480885","90.71348447891766"
"8","14295434","33.768","34.5538787842","4.1381778717","13.312543083024549","111.1600357117013"
"9","14114077","34.202","53.1631259918","3.61858797073","8.652613844994127","127.12140860478745"
