"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.658004999161","2.23475813866","699.0828346086939","205.8388297341745"
"1","62562582","7.716","0.719976186752","2.2828309536","638.9100201702166","201.50418903116037"
"2","60615376","7.964","0.793452978134","2.32319283485","579.7444998967843","198.00336549715794"
"3","60114378","8.03","1.00411295891","2.22171807289","458.115788586401","207.0469721666253"
"4","28904306","16.701","0.948778152466","2.43684196472","484.83409826046926","188.76890937510518"
"5","27821399","17.351","1.12736105919","2.48178100586","408.0325431241865","185.35076177711102"
"6","27450920","17.585","1.13541698456","2.48692083359","405.1375012494005","184.9676892755775"
"7","27136857","17.789","1.1340367794","2.39641690254","405.6305830238442","191.95324465957194"
"8","27091198","17.819","1.16824889183","2.34422588348","393.75171097253036","196.2268240620089"
"9","27033395","17.857","1.19715714455","2.51647114754","384.24362423552265","182.79565829720855"
