"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.702809095383","2.22736501694","654.5162875980182","206.52205476070745"
"1","31210120","15.467","0.671275854111","2.34430003166","685.2622467843589","196.22061757764163"
"2","31210120","15.467","0.764142990112","2.31971502304","601.9815740669095","198.3002202559409"
"3","31210120","15.467","0.767486095428","2.35456609726","599.3593926196075","195.3650825667599"
"4","31210120","15.467","0.758878946304","2.32244801521","606.1572827130896","198.0668660770042"
"5","31210120","15.467","0.759330034256","2.24914097786","605.7971886371179","204.5225286134714"
"6","31210120","15.467","0.756846904755","2.36320996284","607.784741022528","194.65049963070095"
"7","31210120","15.467","0.757102012634","2.41165804863","607.5799460623092","190.7401425593316"
"8","31210120","15.467","0.756369113922","2.38884186745","608.1686725872372","192.56192980727937"
"9","31210120","15.467","0.758540153503","2.35497188568","606.4280155446343","195.3314189425873"
