"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.59047293663","2.17777895927","779.0365509809124","211.22437520164453"
"1","27466793","17.575","3.45345783234","2.31743597984","133.19983110631713","198.49523525182173"
"2","23961748","20.146","4.51043200493","2.30530810356","101.98579637102476","199.53948857827714"
"3","21717259","22.228","6.94191598892","2.32950806618","66.2641266091474","197.46658390191456"
"4","20475242","23.576","13.4747071266","2.22383403778","34.13803325575316","206.84996820133637"
"5","19908867","24.247","28.5053818226","2.29407191277","16.13730357526809","200.51681790806208"
"6","19752345","24.439","49.1684319973","2.30388092995","9.355596290426094","199.66309630880195"
"7","19711733","24.489","56.8269748688","2.24349117279","8.094747275607014","205.03757963435044"
"8","19710950","24.49","57.2258338928","2.30708098412","8.038327599760796","199.38615209744663"
"9","19710833","24.491","57.2548770905","2.26000285149","8.034250065252417","203.53956619899762"
