"Compression level","Compressed size","Compression ratio","Compression time","OHLC time","Writing speed (MiB/s)","OHLC speed (MiB/s)"
"0","485063744","0.995","0.662723064423","2.22586798668","694.1059164747369","206.66095327886228"
"1","21562571","22.387","3.70169615746","3.57329797745","124.26735756621505","128.73261701185882"
"2","19985468","24.154","4.94728398323","3.47818017006","92.98031031960664","132.2530684177209"
"3","19364324","24.929","5.55180978775","3.5010061264","82.85586458941084","131.390801213052"
"4","17011833","28.376","8.54745292664","3.62956380844","53.8172019136296","126.73699217801118"
"5","16773528","28.779","9.71140813828","3.59156990051","47.366972271201554","128.07769659009983"
"6","15251112","31.652","12.2044808865","3.48545002937","37.69107463721473","131.9772184720512"
"7","15156305","31.85","14.714373827","3.45769786835","31.261948718234557","133.03649350366373"
"8","14295434","33.768","29.4781551361","3.47994494438","15.60477573566117","132.18599930514958"
"9","14114077","34.202","45.5734009743","3.43836402893","10.093607020017474","133.78455455255"
