"Compression level","Compressed size","Compression ratio","Compression time","Downsampling time"
"0","600864672","0.999","2.60717701912","26.3842320442"
"1","7051804","85.085","22.0257530212","24.3044011593"
"2","7051804","85.085","21.6745321751","25.0636329651"
"3","7051804","85.085","21.6753380299","24.2171750069"
"4","6629752","90.501","25.386785984","23.8984479904"
"5","6629752","90.501","25.408782959","23.1068079472"
"6","6416552","93.508","37.3873000145","17.6937549114"
"7","6312160","95.055","38.9776837826","17.6791160107"
"8","6312160","95.055","38.6993539333","17.7193551064"
"9","6312160","95.055","38.8421800137","17.7363491058"
