"Compression level","Compressed size","Compression ratio","Compression time","Downsampling time"
"0","600864672","0.999","2.80110907555","29.3844418526"
"1","598817657","1.002","2.80747890472","31.367153883"
"2","598817657","1.002","4.69446206093","34.7491161823"
"3","598817657","1.002","2.70346307755","31.2061800957"
"4","598671833","1.002","2.53831195831","35.2972459793"
"5","598671833","1.002","2.62180113792","31.0448069572"
"6","580402650","1.034","2.62133097649","32.2590689659"
"7","543933158","1.103","2.54171204567","35.5582191944"
"8","543933158","1.103","2.8089621067","35.4095129967"
"9","600864672","0.999","3.59719586372","33.235314846"
