"Compression level","Compressed size","Compression ratio","Compression time","Downsampling time"
"0","600864672","0.999","6.57826399803","28.8504900932"
"1","9521032","63.018","3.17875790596","35.3151080608"
"2","9179054","65.366","3.18839097023","35.3418798447"
"3","8742380","68.631","3.26008987427","35.4810371399"
"4","6430329","93.308","6.43412399292","41.853358984"
"5","6150632","97.551","6.64334106445","41.0739650726"
"6","5518118","108.733","12.5718419552","54.2147920132"
"7","5166095","116.142","12.835670948","54.3907990456"
"8","4539219","132.181","18.0552151203","52.8127400875"
"9","4351807","137.874","16.213946104","52.7422280312"
